class_group,metal_fraction_pct,parent_body,differentiated,source_note
Iron,98.0,asteroid_core,true,"Iron meteorites are core fragments of differentiated asteroids — >95% Fe-Ni metal. Mittlefehldt et al. 1998."
Pallasite,50.0,asteroid_core_mantle,true,"Stony-iron: ~50% Fe-Ni metal matrix with olivine crystals. Boesenberg & Delaney 1997."
Mesosiderite,45.0,asteroid_disrupted,true,"Stony-iron breccia: ~45-50% Fe-Ni metal mixed with silicate clasts. Mittlefehldt 1998."
H,17.0,asteroid,false,"Ordinary chondrite, High-iron: 15-19% free Fe-Ni metal. Jarosewich 1990."
L,7.0,asteroid,false,"Ordinary chondrite, Low-iron: 4-10% free Fe-Ni metal. Jarosewich 1990."
LL,2.0,asteroid,false,"Ordinary chondrite, Low-Low-iron: 1-3% free Fe-Ni metal. Jarosewich 1990."
OC_mixed,9.0,asteroid,false,"Ordinary chondrite, ambiguous classification (e.g. H/L, L/LL). Midpoint of bracketing classes."
OC_unspecified,9.0,asteroid,false,"Ordinary chondrite without group assignment (recclass='OC'). Treated as L-equivalent."
EH,10.0,asteroid,false,"Enstatite chondrite, High-iron. Formed in very reducing nebular conditions. Keil 1989."
EL,8.0,asteroid,false,"Enstatite chondrite, Low-iron. Keil 1989."
E,9.0,asteroid,false,"Enstatite chondrite, group not specified. Midpoint of EH/EL."
CI,0.0,asteroid,false,"Carbonaceous chondrite, Ivuna-type. Fully aqueously altered, no free metal. Brearley & Jones 1998."
CM,1.0,asteroid,false,"Carbonaceous chondrite, Mighei-type. Trace metal + magnetite. Brearley & Jones 1998."
CO,2.0,asteroid,false,"Carbonaceous chondrite, Ornans-type. Small chondrules with minor metal."
CV,1.5,asteroid,false,"Carbonaceous chondrite, Vigarano-type. Mostly silicate with magnetite."
CK,1.0,asteroid,false,"Carbonaceous chondrite, Karoonda-type. Highly oxidized, minimal free metal."
CR,7.0,asteroid,false,"Carbonaceous chondrite, Renazzo-type. Notably metal-rich for a CC. Krot et al. 2002."
CH,20.0,asteroid,false,"Carbonaceous chondrite, ALH 85085-like. Unusually metal-rich (~20%). Bischoff et al. 1993."
CB,60.0,asteroid,false,"Carbonaceous chondrite, Bencubbinite. ~60-70% Fe-Ni metal — an outlier among CCs. Weisberg et al. 2001."
C_ung,2.0,asteroid,false,"Carbonaceous chondrite, ungrouped. Conservative low estimate since most CCs are metal-poor."
R,1.0,asteroid,false,"Rumuruti chondrite. Highly oxidized; almost no free metal. Schulze et al. 1994."
K,7.0,asteroid,false,"Kakangari chondrite. Rare type with moderate metal content (~6-8%). Weisberg et al. 1996."
chondrite_other,5.0,asteroid,false,"Chondrite not assignable to a specific group. Conservative midrange estimate."
Lunar,0.0,Moon,true,"Lunar meteorite — Moon is differentiated, crust/regolith has essentially no free Fe-Ni metal."
Martian,0.0,Mars,true,"Martian meteorite (shergottite/nakhlite/chassignite). Mars is differentiated."
Eucrite,0.0,Vesta,true,"Basaltic achondrite from Vesta's crust. Metal sank to Vesta's core."
Diogenite,0.0,Vesta,true,"Ultramafic achondrite from Vesta's mantle. No free metal."
Howardite,0.0,Vesta,true,"Brecciated eucrite-diogenite mix from Vesta. No free metal."
Ureilite,2.0,asteroid_disrupted,true,"Carbon-rich ultramafic achondrite with trace metal grains. Goodrich 1992."
Aubrite,0.5,asteroid,true,"Enstatite achondrite. Highly reduced but mostly metal-stripped."
Angrite,0.0,asteroid,true,"Basaltic achondrite, distinct from HEDs. No free metal."
Acapulcoite,5.0,asteroid,true,"Primitive achondrite — partially melted, retains some metal. McCoy et al. 1996."
Lodranite,8.0,asteroid,true,"Primitive achondrite, higher degree of melting than acapulcoites but more residual metal."
Winonaite,8.0,asteroid,true,"Primitive achondrite. IAB iron parent body relative."
Brachinite,1.0,asteroid,true,"Olivine-rich primitive achondrite. Trace metal."
achondrite_other,1.0,asteroid,true,"Achondrite of unspecified type. Differentiated → conservative low estimate."
unknown,0.0,unknown,false,"Recclass that does not match any known group (e.g. 'Stone-uncl', 'Fusion crust', 'Unknown'). Weight 0 to avoid overstating yield."
